timestamp,count
1431434235,1
1431434240,1
1431434245,1
1431434250,1
1431434255,1
1431434260,1
1431434265,1
1431434270,1
1431434275,1
1431434280,1
1431434285,1
1431434290,1
1431434295,1
1431434300,1
1431434305,1
1431434310,1
1431434315,1
1431434320,1
1431434325,1
1431434330,1
1431434335,1
1431434340,1
1431434345,1
1431434350,1
1431434355,1
1431434360,1
1431434365,1
1431434370,1
1431434375,2
1431434380,2
1431434385,2
1431434390,2
1431434395,2
1431434400,2
1431434405,2
1431434410,2
1431434415,2
1431434420,2
1431434425,2
1431434430,2
1431434435,2
1431434440,2
1431434445,2
1431434450,1
1431434455,1
1431434460,1
1431434465,1
1431434470,1
1431434475,1
1431434480,1
1431434485,1
1431434490,1
1431434495,1
1431434500,1
1431434505,1
1431434510,1
1431434515,1
1431434520,1
1431434525,1
1431434530,1
1431434535,1
1431434540,1
1431434545,1
1431434550,1
1431434555,1
1431434560,1
1431434565,1
1431434570,1
1431434575,2
1431434580,2
1431434585,2
1431434590,2
1431434595,3
1431434600,3
1431434605,3
1431434610,3
1431434615,3
1431434620,2
1431434625,4
1431434630,4
1431434635,7
1431434640,9
1431434645,9
1431434650,10
1431434655,11
1431434660,13
1431434665,14
1431434670,13
1431434675,13
1431434680,12
1431434685,11
1431434690,11
1431434695,12
1431434700,13
1431434705,14
1431434710,13
1431434715,13
1431434720,14
1431434725,13
1431434730,12
1431434735,13
1431434740,15
1431434745,14
1431434750,14
1431434755,14
1431434760,15
1431434765,15
1431434770,15
1431434775,15
1431434780,15
1431434785,15
1431434790,15
1431434795,15
1431434800,15
1431434805,15
1431434810,15
1431434815,14
1431434820,14
1431434825,14
1431434830,14
1431434835,15
1431434840,15
1431434845,15
1431434850,15
1431434855,15
1431434860,15
1431434865,15
1431434870,15
1431434875,15
1431434880,14
1431434885,14
1431434890,14
1431434895,14
1431434900,14
1431434905,14
1431434910,14
1431434915,14
1431434920,14
1431434925,15
1431434930,15
1431434935,15
1431434940,15
1431434945,15
1431434950,15
1431434955,15
1431434960,15
1431434965,15
1431434970,15
1431434975,17
1431434980,17
1431434985,17
1431434990,17
1431434995,17
1431435000,17
1431435005,17
